id,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25
862,863,869,15875,40820,8916,25447,8469,10306,9446,9663,18971,11395,5550,9647,10858,12312,71881,47504,68924,926,6521,22073,5548,24645,21661
8844,2171,812,200,11005,199,177,18975,24100,193,47018,714,56934,37530,24808,8491,8494,13567,10249,879,2493,13466,331,15139,9354,11335
15602,11520,27472,1888,18080,11356,9504,23752,11575,52961,284,7227,881,22613,17795,21291,25697,2690,32488,13818,110643,30285,11857,32308,11077,14475
31357,1883,26149,12158,281,10384,21539,801,35868,15765,20565,10557,150043,10391,659,619,33644,24679,9715,37667,10397,4816,93946,210307,12335,6028
11862,10385,242,24113,18417,696,11561,11686,703,10440,18254,11215,268,14742,48259,7095,20857,67307,52856,31955,2176,15867,9482,17908,104301,9819
949,36094,68,635,586,1597,1607,8195,11371,819,1598,524,11005,11778,9366,769,238,9566,5971,9535,1813,11416,3784,9013,311,9008
11860,37667,9311,17126,12618,6073,1551,82865,11191,8834,10472,11,1892,58084,1891,4951,9487,9576,606,10236,114,11963,4806,37233,11943,9095
45325,9445,63437,6715,18975,9517,1535,47686,819,62127,4477,550,161,88893,37302,24584,56162,17539,628,21142,9449,38225,10833,10972,8587,16110
9091,20287,9103,11532,8831,10222,17466,2019,11667,9594,10861,10134,37498,9405,9349,10366,11690,10540,817,816,11851,15698,4437,269,11370,8195
710,14522,12103,50512,10163,226229,2649,1669,9619,6075,58048,89,19736,117,506,29193,26578,687,1281,714,56088,19209,108365,10477,10142,41006
9087,14,9882,43742,31174,10416,28902,53617,39113,52782,26477,26483,249,8737,11223,10673,11031,12220,2493,31586,639,881,31908,1700,18169,32499
12110,957,10156,12626,35233,3034,10345,36234,37718,33250,27265,12186,27223,11072,24918,31955,3981,30197,8005,10530,24452,30062,197,10502,2898,57575
21032,856,47199,41817,9607,617,10002,47692,41952,60005,22913,8438,95,31641,3172,12596,10380,2895,9837,1365,21128,12498,2294,24470,18890,19209
10858,68924,6521,28176,2160,2669,10806,36049,22490,223,9433,11462,39938,40154,297,9342,30946,20758,274,4476,10242,18158,77314,18228,11686,161070
1408,2990,21183,2321,10687,11412,12212,11296,15128,9426,1541,10699,10137,600,11287,29825,2887,17190,14342,25690,30528,9350,686,9894,26748,2058
524,10153,402,2636,861,37718,9710,36094,867,949,769,11938,45712,1598,46063,68,586,12106,635,14013,1597,1578,75892,9821,10988,103
4584,1245,24077,9440,11790,10876,47018,13766,1024,25994,13783,76996,11349,25147,10911,3573,597,13787,1688,12715,68924,18118,9778,26263,2441,87
5,9691,8818,253632,90148,2057,17402,48781,4203,500,2469,755,8068,9342,31306,102933,28308,20761,46029,869,22073,22048,47504,12489,37667,1911
9273,3049,1485,22796,21132,93946,12635,2770,4918,46027,10013,44258,11481,9443,2668,20115,120,45964,854,10162,9894,1850,11086,125587,37165,11891
11517,10158,11374,106143,20761,1363,14905,11808,9739,9566,7007,19176,241,11485,9090,30949,1630,38191,11543,696,11561,11686,703,10440,11562,30890
8012,6346,11000,10393,11306,8963,9798,10083,8007,12106,66,33,592,11088,10562,1632,31606,9967,8536,14911,9428,5693,1051,11072,23599,551
1710,11352,378,348,11566,34314,713,3114,926,236,11541,33762,10423,46889,9101,9089,37112,1687,33657,1685,39197,50541,1049,679,10531,54933
9691,8818,253632,2057,90148,17402,48781,4203,5,2469,9342,8068,28308,22048,31306,20761,46029,1911,38925,1370,1368,1367,1371,1374,24587,145925
12665,16172,9816,1552,77074,17447,2649,41516,19736,226229,185,117,25993,39934,506,99040,88,47939,1411,6075,26578,687,5257,710,108365,1669
451,9383,10003,50043,58770,44857,244151,159727,2039,9802,14367,11296,754,12518,1878,795,1701,25497,125520,2625,10427,8649,10660,36234,10013,5994
